Premise,Hypothesis,Label
"If the employer dies, the legal representative is responsible for paying the gratuity.","In the event of the Employer’s death, no gratuity obligations shall pass to the Employer’s legal representatives.",CONTRADICTION
The rate of gratuity depends on the employee’s role and period of service.,The Employer shall compute the Employee’s gratuity based on the Employee’s role and completed years of service.,ENTAILMENT
The rate of gratuity depends on the employee’s role and period of service.,The Employer may determine gratuity amounts at its sole discretion without reference to statutory wage or service calculations.,CONTRADICTION
The Commissioner certifies the gratuity amount owed by an employer.,The Employer shall honor the gratuity amount certified by the Commissioner of Labour.,ENTAILMENT
The Commissioner certifies the gratuity amount owed by an employer.,No external authority shall determine or certify any gratuity amount payable by the Employer.,CONTRADICTION
Gratuity must be paid when an employee with sufficient service is terminated.,"Upon termination of employment, the Employer shall pay the Employee gratuity for all completed service exceeding five years, within thirty days of termination.",ENTAILMENT
Gratuity must be paid when an employee with sufficient service is terminated.,"Termination of employment shall not give rise to any entitlement to gratuity, irrespective of years of service.",CONTRADICTION
Late gratuity payments incur additional surcharges.,"If the Employer fails to pay gratuity on time, a surcharge shall apply in accordance with the prescribed rates.",ENTAILMENT
Late gratuity payments incur additional surcharges.,The Employer shall not be liable for any surcharge or penalty arising from delayed gratuity payments.,CONTRADICTION
Gratuity is calculated based on wage or salary for each year of service.,The Employer shall calculate gratuity based on the Employee’s last drawn salary and completed years of service.,ENTAILMENT
Gratuity is calculated based on wage or salary for each year of service.,"Gratuity, if any, shall not be calculated based on the Employee’s last drawn salary.",CONTRADICTION
Employees who are domestic servants or entitled to a non-contributory pension are not eligible for gratuity.,Employees who are domestic servants or entitled to a non-contributory pension are not eligible for gratuity under this Agreement.,ENTAILMENT
Employees who are domestic servants or entitled to a non-contributory pension are not eligible for gratuity.,"All Employees, including domestic servants and pension-eligible persons, are excluded from gratuity entitlements.",CONTRADICTION
The Employer may withhold or forfeit gratuity if termination is due to proven misconduct causing loss.,The Employer may withhold or forfeit gratuity if the Employee’s termination is due to proven misconduct or loss caused to the Employer.,ENTAILMENT
The Employer may withhold or forfeit gratuity if termination is due to proven misconduct causing loss.,"Any termination, for any reason whatsoever, shall result in full forfeiture of gratuity.",CONTRADICTION
Gratuity must be paid to heirs if the employee dies before receiving it.,"If the Employee dies before receiving gratuity, the amount shall be paid to the Employee’s legal heirs.",ENTAILMENT
Gratuity must be paid to heirs if the employee dies before receiving it.,Gratuity shall lapse upon the death of the Employee and shall not be payable to heirs.,CONTRADICTION
Gratuity for employees in converted public companies can be paid via cash or bonds.,"Employees of a public corporation or government-owned business converted into a public company shall receive their gratuity in cash or via bonds issued by the Central Bank, as chosen by the Employer.",ENTAILMENT
Gratuity for employees in converted public companies can be paid via cash or bonds.,Gratuity shall not be paid in cash or bonds under any circumstances.,CONTRADICTION
Bonds issued as gratuity accrue interest and can be encashed under specified conditions.,"Bonds issued as gratuity shall accrue interest at the prevailing government rate and may be encashed upon retirement, termination, or first public offering of company shares, whichever occurs earlier.",ENTAILMENT
Bonds issued as gratuity accrue interest and can be encashed under specified conditions.,Any bonds issued by the Employer shall not carry interest and shall not be encashable.,CONTRADICTION
The Commissioner can inspect employer records for gratuity compliance.,The Employer shall permit the Commissioner or authorized officer to access and inspect records and documents relevant to the computation of gratuity at reasonable hours.,ENTAILMENT
The Commissioner can inspect employer records for gratuity compliance.,The Employer shall not permit inspection of records by any authority in relation to gratuity matters.,CONTRADICTION
Employers must comply with official directions to provide records for gratuity verification.,"The Employer shall comply with any written direction from the Commissioner to provide books, documents, or other records necessary for verifying gratuity calculations.",ENTAILMENT
Employers must comply with official directions to provide records for gratuity verification.,The Employer is not obligated to produce any records relating to gratuity upon request by authorities.,CONTRADICTION
Service under previous employers counts toward gratuity if ownership changes within five years.,"Where the Employer’s business or establishment is transferred within five years, the Employee’s prior service under the previous Employer shall be included in calculating gratuity.",ENTAILMENT
Service under previous employers counts toward gratuity if ownership changes within five years.,Service under previous employers shall not be counted when computing gratuity after a change in ownership.,CONTRADICTION
Employees must contribute 8% of their monthly earnings to the Employees’ Provident Fund for each month worked in covered employment.,"The Employee shall contribute 8% of his total monthly earnings to the Employees’ Provident Fund, payable in accordance with applicable law.",ENTAILMENT
Employees must contribute 8% of their monthly earnings to the Employees’ Provident Fund for each month worked in covered employment.,The Employee shall not be required to contribute any portion of his or her earnings to the Employees’ Provident Fund.,CONTRADICTION
Employers must pay 12% of the employee’s monthly earnings to EPF by the last day of the following month.,The Employer shall contribute 12% of the Employee’s total monthly earnings to the Employees’ Provident Fund and remit such contributions on or before the last day of the succeeding month in accordance with applicable law.,ENTAILMENT
Employers must pay 12% of the employee’s monthly earnings to EPF by the last day of the following month.,The Employer shall not make any statutory provident fund contributions on behalf of the Employee.,CONTRADICTION
EPF contributions can be voluntarily increased above statutory minimums.,"The Employer and Employee may mutually agree to higher EPF contribution percentages than the statutory minimums, and any such election shall be irrevocable once effective.",ENTAILMENT
EPF contributions can be voluntarily increased above statutory minimums.,Contributions to the Provident Fund shall not exceed the minimum amounts expressly stated in this Agreement.,CONTRADICTION
"If an employer reduces an employee’s earnings to lower EPF contributions, the Commissioner can direct the employer to pay the difference.","Any attempt by the Employer to reduce earnings for lowering EPF contributions shall be rectified under the direction of the Commissioner, who may require payment of any shortfall.",ENTAILMENT
"If an employer reduces an employee’s earnings to lower EPF contributions, the Commissioner can direct the employer to pay the difference.",The Employer reserves the right to adjust Employee earnings irrespective of the effect on provident fund contributions.,CONTRADICTION
Employers must pay a surcharge for late contributions ranging from 5% to 50% depending on the period of delay.,"The Employer shall be liable to pay a surcharge ranging from 5% to 50% of the contribution amount for any delay in remitting contributions, calculated in accordance with Section 16 of the Act based on the period of delay.",ENTAILMENT
Employers must pay a surcharge for late contributions ranging from 5% to 50% depending on the period of delay.,No surcharge or penalty shall be payable by the Employer for delayed provident fund payments.,CONTRADICTION
All contributions and interest must be credited to the employee’s individual EPF account.,The Employer shall ensure that all contributions and accrued interest are credited to the individual EPF account of the employee in accordance with applicable regulations.,ENTAILMENT
All contributions and interest must be credited to the employee’s individual EPF account.,Provident fund contributions and interest shall not necessarily be credited to individual employee accounts.,CONTRADICTION
Employers must not reduce an employee’s earnings or benefits because of EPF obligations.,The Employer shall not diminish any Employee’s earnings or benefits on account of EPF contributions; any contract attempting to do so is void.,ENTAILMENT
Employers must not reduce an employee’s earnings or benefits because of EPF obligations.,The Employer may revise Employee benefits or earnings to offset statutory contribution costs.,CONTRADICTION
Employers cannot deduct EPF contributions or surcharge from employee wages; contracts attempting this are void.,No deduction for Employer’s EPF obligations or surcharges shall be made from Employee wages; any agreement to the contrary shall be null and void,ENTAILMENT
Employers cannot deduct EPF contributions or surcharge from employee wages; contracts attempting this are void.,The Employer may deduct its provident fund contribution and any surcharge from the Employee’s salary.,CONTRADICTION
EPF funds cannot be assigned or attached except as permitted by law.,"The Employer acknowledges that EPF contributions and any accrued interest to the Employee’s individual account are inalienable and cannot be assigned, attached, or otherwise transferred except as required under law.",ENTAILMENT
EPF funds cannot be assigned or attached except as permitted by law.,The Employee may assign or pledge provident fund balances as security for personal obligations.,CONTRADICTION
The Employees’ Trust Fund Board must be set up to administer and manage the Fund.,Any obligations imposed on employers regarding trust fund contributions shall be administered through the Employees’ Trust Fund Board established under law.,ENTAILMENT
The Employees’ Trust Fund Board must be set up to administer and manage the Fund.,The Employer shall independently manage any employee trust contributions without reference to any statutory Board.,CONTRADICTION
The Board must maintain a general Fund account and individual accounts for each member.,The Employer agrees that all contributions made under this Agreement shall be credited to the individual trust fund account of the Employee in accordance with the Act.,ENTAILMENT
The Board must maintain a general Fund account and individual accounts for each member.,No individual trust fund accounts shall be maintained for Employees.,CONTRADICTION
"Employers must contribute 3% of each employee’s monthly earnings to the Fund, payable by the last day of the following month.","The Employer shall remit to the Employees’ Trust Fund Board a contribution equal to 3% of the Employee’s total earnings each month, payable on or before the last day of the succeeding month.",ENTAILMENT
"Employers must contribute 3% of each employee’s monthly earnings to the Fund, payable by the last day of the following month.",The Employer shall not make any trust fund contributions for the Employee.,CONTRADICTION
All ETF contributions must be credited to the employee’s individual account.,The Employer shall ensure that all contributions paid are credited to the Employee’s individual ETF account by the Board.,ENTAILMENT
All ETF contributions must be credited to the employee’s individual account.,Any trust fund contributions made shall remain under the control of the Employer.,CONTRADICTION
"If an employer makes higher voluntary contributions, 3% must go to ETF, and any excess may be allocated to approved provident funds.","Where the Employer makes higher voluntary retirement contributions, it may remit 3% to the ETF Fund and allocate the remainder to alternate statutory accounts as permitted by law.",ENTAILMENT
"If an employer makes higher voluntary contributions, 3% must go to ETF, and any excess may be allocated to approved provident funds.",All voluntary provident fund contributions shall remain exclusively within the Employer’s chosen fund.,CONTRADICTION
Self-employed persons or migrant workers may join the Fund voluntarily by notifying the Board in writing.,"If the Employee is eligible and desires to join the Fund as a self‑employed or migrant member, such membership shall be processed in accordance with Board rules.",ENTAILMENT
Self-employed persons or migrant workers may join the Fund voluntarily by notifying the Board in writing.,No self-employed or migrant worker shall be permitted to participate in the Trust Fund.,CONTRADICTION
"ETF contributions earn statutory interest, at a minimum rate of 3% per annum, as fixed by the Board",The Employer acknowledges that contributions to the Employee’s ETF individual account shall accrue interest at a minimum statutory rate as prescribed by the Board.,ENTAILMENT
"ETF contributions earn statutory interest, at a minimum rate of 3% per annum, as fixed by the Board",No interest shall accrue on any trust fund contributions.,CONTRADICTION
"On termination of employment, the employee is entitled to receive the amount standing to their credit in the Fund, subject to statutory conditions.","On termination of employment, the Employer shall not impede the Employee’s right to receive the amount standing to their credit in the ETF Fund in accordance with statutory conditions and procedures.",ENTAILMENT
"On termination of employment, the employee is entitled to receive the amount standing to their credit in the Fund, subject to statutory conditions.",Termination of employment shall not entitle the Employee to any trust fund payment.,CONTRADICTION
"Withdrawals from individual ETF accounts are restricted to once every 5 years, except for members over 60 or those permanently leaving Sri Lanka.",Any conditions on withdrawal of trust fund benefits in this Agreement shall not contravene statutory limitations on withdrawal frequency and allowable exceptions.,ENTAILMENT
"Withdrawals from individual ETF accounts are restricted to once every 5 years, except for members over 60 or those permanently leaving Sri Lanka.",The Employee may freely withdraw trust fund balances at any time without restriction.,CONTRADICTION
Rights to the Fund’s monies are strictly limited to statutory provisions; no additional or extrastatutory claims are allowed.,Nothing in this Agreement shall grant the Employee rights to ETF monies other than those expressly provided under the Employees’ Trust Fund Act or relevant regulations.,ENTAILMENT
Rights to the Fund’s monies are strictly limited to statutory provisions; no additional or extrastatutory claims are allowed.,The Employee may assert independent contractual claims over trust fund monies.,CONTRADICTION
Persons under 18 cannot be employed at night in industrial undertakings.,"The Employer shall not require or permit any employee under the age of eighteen years to work during night hours in any industrial undertaking, in compliance with applicable labour laws.",ENTAILMENT
Persons under 18 cannot be employed at night in industrial undertakings.,The Employer may require employees under the age of eighteen to work night shifts.,CONTRADICTION
"Night work for women is allowed only voluntarily, with Labour Commissioner approval, additional pay, welfare supervision, rest facilities, and maximum 10 nights per month.","Any night work assigned to female employees shall be strictly voluntary and subject to written approval from the Commissioner of Labour, enhanced remuneration, welfare supervision, and all statutory safeguards.",ENTAILMENT
"Night work for women is allowed only voluntarily, with Labour Commissioner approval, additional pay, welfare supervision, rest facilities, and maximum 10 nights per month.","Female Employees may be required to work night shifts without consent, additional pay, or regulatory approval.",CONTRADICTION
Young persons may not be employed at night except as permitted by law.,The Employer shall not require or permit any young person to work during night hours except where expressly allowed under applicable law and regulations.,ENTAILMENT
Young persons may not be employed at night except as permitted by law.,The Employer is not obligated to display or communicate statutory protections for young workers.,CONTRADICTION
No child under 14 may be employed in industrial undertakings.,The Employer shall not employ any child below the minimum age prescribed by law in any industrial undertaking under this Agreement.,ENTAILMENT
No child under 14 may be employed in industrial undertakings.,The Employer may engage children of any age in industrial work without restriction.,CONTRADICTION
Employers must maintain accurate employment registers for women and young persons.,"The Employer shall maintain an accurate register recording the names and dates of birth of all women and young persons employed, as required by law.",ENTAILMENT
Employers must maintain accurate employment registers for women and young persons.,The Employer shall not be required to maintain any employment register relating to women or young persons.,CONTRADICTION
No person under 15 may be employed on Sri Lankan or Sri Lanka-connected vessels.,The Employer shall not employ or engage any person under the age of fifteen years for work on any vessel covered under Sri Lankan law.,ENTAILMENT
No person under 15 may be employed on Sri Lankan or Sri Lanka-connected vessels.,Persons below fifteen years of age may be employed on vessels operated or registered in Sri Lanka.,CONTRADICTION
Employment details of children must be disclosed to authorized officers when requested.,The Employer shall promptly provide all information relating to the employment of any child to authorized officers upon lawful request.,ENTAILMENT
Employment details of children must be disclosed to authorized officers when requested.,The Employer and guardians shall not be obligated to disclose any information regarding child employment to authorities.,CONTRADICTION
Children cannot participate in entertainment for which payment is charged.,The Employer shall not engage any child in any entertainment activity where a fee is charged to the audience.,ENTAILMENT
Children cannot participate in entertainment for which payment is charged.,Children may participate in entertainment activities for which admission fees are charged.,CONTRADICTION
No person under 18 may be employed in hazardous occupations.,The Employer shall not employ any person under the age of eighteen years in any hazardous occupation as prescribed by law.,ENTAILMENT
No person under 18 may be employed in hazardous occupations.,Employees under the age of eighteen may be assigned to hazardous occupations at the Employer’s discretion.,CONTRADICTION
Employers and guardians must provide employment information of women and young persons to authorized officers when requested.,The Employer shall furnish all information relating to the employment of women and young persons to authorized officers upon lawful request.,ENTAILMENT
Employers and guardians must provide employment information of women and young persons to authorized officers when requested.,No obligation shall exist to provide employment information of women or young persons to any authority.,CONTRADICTION
Labour officers may inspect workplaces and investigate compliance.,"The Employer shall permit authorized officers to enter, inspect, and examine the workplace and shall not obstruct any lawful inspection conducted under this Act.",ENTAILMENT
Labour officers may inspect workplaces and investigate compliance.,The Employer’s premises shall not be subject to inspection or questioning by labour officers.,CONTRADICTION
"Employers must pay every worker at least LKR 10,000 per month or LKR 400 per day, regardless of industry or service.","The Employer shall ensure that no worker is paid less than LKR 10,000 per month or LKR 400 per day.",ENTAILMENT
"Employers must pay every worker at least LKR 10,000 per month or LKR 400 per day, regardless of industry or service.",The Employee agrees to accept wages below the national minimum wage.,CONTRADICTION
"No employer may pay less than the national minimum wage, even if other laws allow lower payments.","The Employer shall not pay any worker a wage below the national minimum, regardless of any other legal provisions.",ENTAILMENT
"No employer may pay less than the national minimum wage, even if other laws allow lower payments.",The Employer may determine wages irrespective of any statutory minimum.,CONTRADICTION
Existing employees must not have reduced wages or benefits after the Act starts.,"The Employer shall maintain all existing wages, allowances, and other monetary benefits of current workers at a level no less favorable than those enjoyed immediately before the Act’s commencement.",ENTAILMENT
Existing employees must not have reduced wages or benefits after the Act starts.,The Employer reserves the right to reduce wages and benefits at any time.,CONTRADICTION
"Employers must keep a wage register showing employee names, job type, and wages.","The Employer shall maintain a complete register of all workers, detailing their names, job categories, and wages, on the premises.",ENTAILMENT
"Employers must keep a wage register showing employee names, job type, and wages.",The Employer shall not maintain any wage or employment registers.,CONTRADICTION
Wage registers must be kept for 6 years.,The Employer shall retain all worker wage registers for at least six years.,ENTAILMENT
Wage registers must be kept for 6 years.,Employment records may be destroyed at the Employer’s discretion.,CONTRADICTION
"Labour inspectors can check compliance, review registers, and demand wage info from employers.","The Employer shall allow authorised officers to inspect premises, examine and copy registers, answer questions, and provide information as required for enforcement of this Act.",ENTAILMENT
"Labour inspectors can check compliance, review registers, and demand wage info from employers.",No authority shall have the right to inspect records or request wage information.,CONTRADICTION
"If wages are unpaid, the Commissioner-General can order the employer to pay the defaulted amount.",The Employer shall pay any defaulted national minimum wage to the Commissioner-General within the specified period upon receiving notice.,ENTAILMENT
"If wages are unpaid, the Commissioner-General can order the employer to pay the defaulted amount.",No authority may require the Employer to pay unpaid minimum wages.,CONTRADICTION
Non-payment can lead to court action and fines imposed by a Magistrate.,"If the Employer fails to comply with wage payment notices, the Commissioner-General shall report to the Magistrate, who may summon the Employer to recover unpaid wages.",ENTAILMENT
Non-payment can lead to court action and fines imposed by a Magistrate.,Failure to pay minimum wages shall not result in legal proceedings.,CONTRADICTION
"Violating minimum wage rules can result in fines up to LKR 25,000 or 6 months imprisonment.","The Employer shall strictly comply with all minimum wage provisions under the Act; failure to do so may result in fines, imprisonment, or both as per law.",ENTAILMENT
"Violating minimum wage rules can result in fines up to LKR 25,000 or 6 months imprisonment.",The Employer shall not be subject to penalties for wage violations.,CONTRADICTION
A landlord must not charge rent higher than the authorized or receivable rent fixed under the Act.,The Landlord shall charge rent only up to the legally authorized or receivable amount and shall not demand or accept any sum in excess thereof,ENTAILMENT
A landlord must not charge rent higher than the authorized or receivable rent fixed under the Act.,The Tenant agrees to pay rent exceeding the authorized or receivable rent.,CONTRADICTION
Advance rent cannot exceed three months of the lawful rent.,The Tenant shall not be required to pay more than three months’ rent in advance,ENTAILMENT
Advance rent cannot exceed three months of the lawful rent.,The Tenant shall pay any advance rent amount required by the Landlord.,CONTRADICTION
Extra payments such as key money or premiums are illegal.,"The Landlord shall not demand or accept any additional payment, premium, commission, or other consideration beyond the authorized rent.",ENTAILMENT
Extra payments such as key money or premiums are illegal.,The Tenant shall pay a premium and additional consideration as required by the Landlord.,CONTRADICTION
A tenant must obtain written consent before subletting.,The Tenant shall obtain written consent from the Landlord prior to subletting the premises.,ENTAILMENT
A tenant must obtain written consent before subletting.,The Tenant may freely sublet without the Landlord’s consent.,CONTRADICTION
Unauthorized subletting allows lawful eviction through court.,"If the Tenant sublets without prior written consent, the Landlord may seek lawful eviction through the courts.",ENTAILMENT
Unauthorized subletting allows lawful eviction through court.,Unauthorized subletting shall not give rise to eviction rights.,CONTRADICTION
Even tenants subletting must not charge above authorized or proportionate rent.,"Where the Tenant sublets any part of the premises, the Tenant shall not charge or receive rent that exceeds the authorized or proportionate rent fixed by law.",ENTAILMENT
Even tenants subletting must not charge above authorized or proportionate rent.,"The Tenant may charge any rent or consideration for subletting, without limitation to statutory or proportionate amounts.",CONTRADICTION
Landlord must not charge above fixed proportionate rent for parts of premises.,"The Landlord shall not charge any amount for any part of the premises that exceeds the proportionate rent fixed by the Board, as defined by law.",ENTAILMENT
Landlord must not charge above fixed proportionate rent for parts of premises.,"The Landlord may charge any amount for the premises or parts thereof, including premiums, commissions, or other payments.",CONTRADICTION
A landlord cannot separately charge for furniture or fittings.,"The Landlord shall not charge separately for furniture, fittings, or appliances on the premises.",ENTAILMENT
A landlord cannot separately charge for furniture or fittings.,"The Landlord may charge separately for furniture, fittings, or other services at their discretion.",CONTRADICTION
"A landlord must not cut off essential services such as water, electricity, or sanitation.",The Landlord shall maintain all essential services and amenities provided to the Tenant.,ENTAILMENT
"A landlord must not cut off essential services such as water, electricity, or sanitation.",The Landlord may discontinue or withhold utilities or services at any time without cause.,CONTRADICTION
Force or harassment to evict a tenant is strictly prohibited.,"The Landlord shall not use force, threats, or harassment to evict the Tenant or demand rent above the authorized amount.",ENTAILMENT
Force or harassment to evict a tenant is strictly prohibited.,The Landlord may use any force or coercion necessary to recover possession or additional rent.,CONTRADICTION
A landlord must not interfere with a tenant’s lawful occupation.,The Landlord shall not interfere with the Tenant’s lawful occupation or access to the premises.,ENTAILMENT
A landlord must not interfere with a tenant’s lawful occupation.,The Landlord may interfere with or restrict the Tenant’s occupation of the premises.,CONTRADICTION
"For rent arrears eviction, advance notice is mandatory (3 months first time, 2 months second, 1 month thereafter).","The Landlord shall provide the legally required advance notice before evicting a Tenant for rent arrears: 3 months for the first instance, 2 months for the second, and 1 month for any subsequent occasion.",ENTAILMENT
"For rent arrears eviction, advance notice is mandatory (3 months first time, 2 months second, 1 month thereafter).",The Landlord may terminate tenancy without giving any notice for rent arrears.,CONTRADICTION
Eviction for landlord’s own use requires one year’s written notice.,The Landlord shall provide at least one year’s written notice if seeking to evict the Tenant for personal use of the premises.,ENTAILMENT
Eviction for landlord’s own use requires one year’s written notice.,The Landlord may evict the Tenant for personal use without providing any prior notice.,CONTRADICTION
New owners cannot evict existing tenants for personal use in most cases.,"If the Landlord acquired the premises after the specified date, they shall not evict the existing Tenant for personal use except as permitted by law.",ENTAILMENT
New owners cannot evict existing tenants for personal use in most cases.,"A new owner may evict existing tenants at their discretion, regardless of acquisition date or prior ownership.",CONTRADICTION
Tenants can recover or deduct excess rent paid.,The Tenant shall be entitled to recover or deduct any rent paid in excess of the legally authorized amount.,ENTAILMENT
Tenants can recover or deduct excess rent paid.,The Tenant shall have no right to recover or deduct any excess rent paid.,CONTRADICTION
Landlords must provide a written rent statement when requested.,"Upon written request, the Landlord shall provide the Tenant with a statement showing standard rent, permitted increases, and receivable rent.",ENTAILMENT
Landlords must provide a written rent statement when requested.,"The Landlord shall not be obliged to provide any statement of rent, increases, or receivable/proportionate amounts.",CONTRADICTION
Rent receipts are mandatory for all payments.,The Landlord shall issue a receipt for every rent or advance payment made by the Tenant.,ENTAILMENT
Rent receipts are mandatory for all payments.,The Landlord is not required to issue any receipt for rent or advance payments.,CONTRADICTION
"Any document affecting land, ownership, or mortgages falls under this law and may require registration.","For the purposes of this Agreement, ""Land"" shall include all immovable property, structures attached thereto, and any estate, interest, mortgage, or charge thereon.",ENTAILMENT
"Any document affecting land, ownership, or mortgages falls under this law and may require registration.","Any instrument or document affecting land, mortgages, or ownership may be executed or recorded without adherence to statutory registration requirements.",CONTRADICTION
An unregistered land document is legally weaker and loses priority to a later registered document.,Any instrument affecting land under this Agreement must be duly registered in accordance with the Registration of Documents Ordinance; failure to do so shall render the instrument unenforceable against subsequent registered interests.,ENTAILMENT
An unregistered land document is legally weaker and loses priority to a later registered document.,All land instruments shall remain valid and enforceable irrespective of registration or priority under any Ordinance.,CONTRADICTION
"Sale deeds, transfers, mortgages, land agreements, wills, and court orders must be registered to affect land rights.","All deeds, transfers, mortgages, agreements, contracts, wills, or court orders affecting land under this Agreement shall be submitted for registration to comply with the Registration of Documents Ordinance",ENTAILMENT
"Sale deeds, transfers, mortgages, land agreements, wills, and court orders must be registered to affect land rights.","The Parties may execute deeds, transfers, mortgages, agreements, wills, or court orders affecting land without registration, and such instruments shall remain legally effective.",CONTRADICTION
Pending court cases affecting land are not enforceable against buyers unless officially registered.,Any pending litigation or claims affecting the property must be registered under the Ordinance to have enforceable effect against third-party purchasers,ENTAILMENT
Pending court cases affecting land are not enforceable against buyers unless officially registered.,Any Us pendens affecting land shall bind subsequent purchasers irrespective of registration.,CONTRADICTION
"Land documents must clearly describe the property (location, boundaries, size) to be valid for registration.","Each instrument submitted for registration under this Agreement shall contain a complete and precise description of the land, including boundaries, location, administrative divisions, and municipal or village details, as required by law",ENTAILMENT
"Land documents must clearly describe the property (location, boundaries, size) to be valid for registration.","No specific description, boundary, or location particulars shall be required for the validity of instruments affecting land.",CONTRADICTION
Documents missing required land details can be legally rejected and treated as non-compliant.,The parties acknowledge that any document lacking required land particulars may be rejected by the Registrar and shall be deemed non-compliant under the Registration of Documents Ordinance.,ENTAILMENT
Documents missing required land details can be legally rejected and treated as non-compliant.,All instruments shall be accepted for registration even if property details are incomplete or inaccurate.,CONTRADICTION
The parties to the document or anyone with a legal interest can submit it for registration.,"Any party executing or having a legal interest in the land may submit the instrument for registration, as permitted under the Ordinance.",ENTAILMENT
The parties to the document or anyone with a legal interest can submit it for registration.,Only the executing party may submit an instrument for registration; third-party submissions are not permitted.,CONTRADICTION
Registration time determines legal priority between competing land documents.,The parties agree that the legal priority of any registered instrument shall be determined based on the date and time of registration recorded by the Registrar.,ENTAILMENT
Registration time determines legal priority between competing land documents.,The legal priority of instruments affecting land shall not be determined by the time of registration.,CONTRADICTION
"Manufacturers and traders must comply with labelling, price marking, and packaging directions issued by the Authority.","The Manufacturer/Trader shall strictly comply with all directions issued by the Consumer Affairs Authority relating to pricing, labelling, packaging, or sale of goods.",ENTAILMENT
"Manufacturers and traders must comply with labelling, price marking, and packaging directions issued by the Authority.","Manufacturers and traders may ignore any directions issued under this Act regarding labelling, pricing, or packaging.",CONTRADICTION
Selling goods above the marked price is illegal.,The goods shall not be sold at a price exceeding the price marked or displayed in accordance with directions issued by the Consumer Affairs Authority.,ENTAILMENT
Selling goods above the marked price is illegal.,Traders may sell goods at any price regardless of the price marked.,CONTRADICTION
"Goods or services must conform to standards and warranties. Failure requires compensation, replacement, or refund.","Where goods or services fail to conform to required standards or warranties, the Trader shall provide compensation, replacement, or a refund as directed by the Consumer Affairs Authority.",ENTAILMENT
"Goods or services must conform to standards and warranties. Failure requires compensation, replacement, or refund.","Traders or manufacturers may supply goods or services without regard to statutory standards, warranties, or obligations to compensate.",CONTRADICTION
Agreements can set maximum prices for goods.,"The Trader agrees to comply with any maximum price, standard, or condition imposed by agreement with the Consumer Affairs Authority",ENTAILMENT
Agreements can set maximum prices for goods.,No maximum prices shall be imposed or enforced on goods or services.,CONTRADICTION
Traders cannot refuse to sell goods they have in stock for trade purposes.,"The Trader shall not refuse to sell goods that are available in stock for trade, subject only to lawful payment of the stated price.",ENTAILMENT
Traders cannot refuse to sell goods they have in stock for trade purposes.,Traders may refuse to sell any goods in their possession or custody for any reason.,CONTRADICTION
Traders cannot impose conditions requiring purchase of additional goods or services (no forced bundling).,"The sale of goods shall not be conditional upon the purchase of any other goods or services, except payment of the stated price.",ENTAILMENT
Traders cannot impose conditions requiring purchase of additional goods or services (no forced bundling).,"Traders may impose any conditions, including requiring purchase of additional goods or services.",CONTRADICTION
Traders cannot hoard goods beyond normal trading requirements.,The Trader shall not stock goods in quantities exceeding normal trading requirements or personal consumption limits.,ENTAILMENT
Traders cannot hoard goods beyond normal trading requirements.,"Traders may maintain any quantity of goods, exceeding personal consumption or normal trading requirements.",CONTRADICTION
Price increases for essential goods/services require Authority approval.,The price of regulated goods or services shall not be increased without prior written approval from the Consumer Affairs Authority.,ENTAILMENT
Price increases for essential goods/services require Authority approval.,Traders may increase the price of any goods or services without approval from the Authority.,CONTRADICTION
Traders must display price lists conspicuously in their business premises.,The Trader shall prominently display the applicable retail or wholesale prices of goods at the place of business.,ENTAILMENT
Traders must display price lists conspicuously in their business premises.,Traders are not required to display price lists or information regarding goods for sale.,CONTRADICTION
"Traders must issue receipts showing date, quantity, price, and transaction type.","Upon request, the Trader shall issue a receipt indicating date, quantity, price, and nature of the transaction.",ENTAILMENT
"Traders must issue receipts showing date, quantity, price, and transaction type.",Traders may sell goods without issuing receipts or providing details of the transaction.,CONTRADICTION
Traders cannot engage in misleading or deceptive conduct.,The Trader shall not engage in any misleading or deceptive conduct in the sale or promotion of goods or services.,ENTAILMENT
Traders cannot engage in misleading or deceptive conduct.,"Traders may engage in misleading, deceptive, or false conduct without liability.",CONTRADICTION
"False claims about quality, standard, grade, style, or model are illegal.","The Trader shall ensure that all representations regarding the standard, quality, grade, style, or model of goods or services are truthful, accurate, and not misleading.",ENTAILMENT
"False claims about quality, standard, grade, style, or model are illegal.","Traders may represent goods or services as to quality, standard, grade, style, or model irrespective of truth.",CONTRADICTION
Falsely claiming goods are new is illegal.,"The Trader shall not represent used, refurbished, or reconditioned goods as new under any circumstances.",ENTAILMENT
Falsely claiming goods are new is illegal.,Traders may represent goods as new regardless of their actual condition.,CONTRADICTION
"False claims about product features, benefits, or endorsements are illegal.","The Trader shall not claim that any goods or services have sponsorship, approval, performance, features, accessories, uses, or benefits that they do not actually possess.",ENTAILMENT
"False claims about product features, benefits, or endorsements are illegal.","Traders may make any representations regarding product features, benefits, or sponsorships without restriction.",CONTRADICTION
False claims about discounts or price changes are illegal.,"The Trader shall accurately represent all price reductions, increases, discounts, and promotions and shall not make any misleading statements regarding pricing.",ENTAILMENT
False claims about discounts or price changes are illegal.,"Traders may misrepresent price reductions, increases, or promotions without liability.",CONTRADICTION
"False claims about necessity of goods, services, or repairs are illegal.","The Trader shall not mislead or coerce the Consumer regarding the necessity of any goods, services, replacements, or repairs.",ENTAILMENT
"False claims about necessity of goods, services, or repairs are illegal.","Traders may make false claims regarding the need for goods, services, replacements, or repairs.",CONTRADICTION
