Premise,Hypothesis,Label
"Labour inspectors can check compliance, review registers, and demand wage info from employers.",No authority shall have the right to inspect records or request wage information.,CONTRADICTION
It is illegal for a lender to persuade a borrower’s spouse or child to take a loan without written consent.,No lender shall induce any spouse or child of a borrower to contract a loan without the borrower’s written consent.,CONTRADICTION
Unfair hire-purchase clauses listed in the Act are void.,The following terms are void: (a) Owner may enter premises to repossess goods; (b) Hirer must execute promissory notes; (c) Hirer liable for unforeseeable loss; (d) Owner exempted from agent’s acts; (e) Hirer waives right to counterclaim; (f) Agreement governed by foreign law.,ENTAILMENT
Seller must deliver goods and buyer must accept and pay as agreed.,"The Seller shall deliver the goods, and the Buyer shall accept and pay for the goods, in accordance with the terms of this Agreement.",ENTAILMENT
Loan agreements must comply with Board-set maximum interest rates and loan term limits.,All loans under this Agreement shall comply with the maximum interest rates and term limits prescribed by the Board,ENTAILMENT
Contract clauses excluding liability for death or personal injury from negligence must be ignored.,The parties agree that any provision attempting to exclude or limit liability for death or personal injury resulting from negligence shall be null and void and of no effect.,CONTRADICTION
"Land transaction documents must include the thumb impression of each party, affixed before a notary and witnesses.",Each party shall affix their thumb impression beside their signature on all land transaction documents in the presence of a Notary Public and witnesses.,ENTAILMENT
Guarantees cannot exclude liability for manufacturer/distributor negligence.,Liability for negligence by any person involved in the manufacture or distribution of goods cannot be excluded by any contractual provision or notice.,CONTRADICTION
Employment details of children must be disclosed to authorized officers when requested.,The Employer shall promptly provide all information relating to the employment of any child to authorized officers upon lawful request.,ENTAILMENT
A contract formed by offer and acceptance electronically is valid and enforceable even if entirely digital.,All contracts formed by electronic offer and acceptance shall be legally binding and enforceable,ENTAILMENT
"If an employee works on a public holiday, they must receive a replacement holiday or double pay.",Work performed on public holidays shall be paid at the normal daily rate with no replacement holiday.,CONTRADICTION
Goods sold by sample must match the sample.,"In sales by sample, the bulk of goods shall correspond in quality with the sample provided.",ENTAILMENT
Reasonableness test: term must be fair given circumstances at contract formation.,A contract term shall be deemed reasonable if it is fair considering the circumstances at the time of contract formation.,ENTAILMENT
"Violating minimum wage rules can result in fines up to LKR 25,000 or 6 months imprisonment.",The Employer shall not be subject to penalties for wage violations.,CONTRADICTION
Employees must contribute 8% of their monthly earnings to the Employees’ Provident Fund for each month worked in covered employment.,The Employee shall not be required to contribute any portion of his or her earnings to the Employees’ Provident Fund.,CONTRADICTION
Loan agreements must include consumer protection measures as required by Registrar-issued rules.,All loan and savings agreements executed under this contract shall include consumer protection measures as required by rules issued by the Registrar.,CONTRADICTION
An employee or agent paid through profit-sharing does not become a partner and has no partnership rights or liabilities.,Any servant or agent remunerated by a share of profits shall not be deemed a partner nor acquire partnership rights.,CONTRADICTION
"If the woman worker dies, the employer must pay due maternity benefit to her nominee or her legal heir.",No maternity benefits shall be payable to any nominee or legal heir under any circumstances.,CONTRADICTION
Compensation amounts are calculated according to a Gazette formula determined by the Commissioner and Minister.,Any compensation payable shall be calculated in accordance with the formula prescribed by Order published in the Gazette.,ENTAILMENT
Goods bought by description must be of merchantable quality.,"The Seller warrants that all goods sold by description shall be of merchantable quality, except for defects that could have been discovered upon reasonable examination by the Buyer",ENTAILMENT
Excessive hire-purchase charges must be reduced to statutory limits.,"Any hire-purchase charges exceeding statutory limits shall be reduced, and the Hirer or Guarantor’s liability shall be limited accordingly.",CONTRADICTION
Gratuity for employees in converted public companies can be paid via cash or bonds.,Gratuity shall not be paid in cash or bonds under any circumstances.,CONTRADICTION
Pawnbroker must give 14 days notice before selling a pledged item.,The Pawnbroker shall provide the Pawner with at least fourteen (14) days’ prior written notice of the date and place of any public auction sale of pledged items,ENTAILMENT
Unauthorized subletting allows lawful eviction through court.,Unauthorized subletting shall not give rise to eviction rights.,CONTRADICTION
"Night work for women is allowed only voluntarily, with Labour Commissioner approval, additional pay, welfare supervision, rest facilities, and maximum 10 nights per month.","Female Employees may be required to work night shifts without consent, additional pay, or regulatory approval.",CONTRADICTION
Unfair hire-purchase clauses listed in the Act are void.,Any clause in the hire-purchase agreement listed as void under the Act shall have no effect.,CONTRADICTION
Employers must pay wages in cash/legal tender directly to employees and cannot make unauthorized deductions.,"The Employer shall pay wages in legal tender directly to the Worker, without unauthorized deductions, except as permitted by law.",CONTRADICTION
Electronic signatures (e‑signatures) are legally valid if they identify the signer and show intent to authenticate the contract.,A requirement for a signature shall be deemed satisfied if a reliable electronic method identifies the signer and indicates their intention to authenticate the document.,CONTRADICTION
"False claims about necessity of goods, services, or repairs are illegal.","Traders may make false claims regarding the need for goods, services, replacements, or repairs.",CONTRADICTION
"If a contract uses electronic records or e‑signatures, it cannot be denied legal effect just because it uses digital formats or e‑signatures.","A contract executed using electronic records or electronic signatures shall have full legal validity and effect, and cannot be challenged solely because it is in electronic form or signed electronically.",ENTAILMENT
Goods must be of merchantable quality unless a lawful exception applies.,"The goods supplied under this Agreement shall be of merchantable quality, except as lawfully excepted.",ENTAILMENT
Workers covered by this Act are excluded from Industrial Disputes Act retrenchment rules.,Employees covered under this Act shall not be subject to the retrenchment provisions of Part IVB of the Industrial Disputes Act.,ENTAILMENT
Employers must pay a surcharge for late contributions ranging from 5% to 50% depending on the period of delay.,No surcharge or penalty shall be payable by the Employer for delayed provident fund payments.,CONTRADICTION
A woman worker may give notice to her employer of her expected confinement within one month before the date.,Advance notice of confinement is not recognized.,CONTRADICTION
Agreements can set maximum prices for goods.,"The Trader agrees to comply with any maximum price, standard, or condition imposed by agreement with the Consumer Affairs Authority",ENTAILMENT
The Commissioner or authorized officer must attempt to settle any dispute referred for conciliation.,The Employer shall have the sole authority to decide disputes without intervention by the Commissioner or any authorized officer,CONTRADICTION
Only licensed or exempt entities can provide microfinance services; agreements from unlicensed lenders are illegal.,"The Borrower acknowledges that the Lender is duly licensed or exempt under the Microfinance Act, No. 6 of 2016, and any loan or financial accommodation provided by an unlicensed entity shall be void and unenforceable.",ENTAILMENT
Retrenchment protections apply only to employers with 15 or more employees.,All retrenchment provisions of this Agreement shall apply to the Employer regardless of the number of employees,CONTRADICTION
Gratuity must be paid when an employee with sufficient service is terminated.,"Upon termination of employment, the Employer shall pay the Employee gratuity for all completed service exceeding five years, within thirty days of termination.",ENTAILMENT
It is illegal for a lender to persuade a borrower’s spouse or child to take a loan without written consent.,No loan shall be solicited from or induced to the Borrower’s spouse or child without written consent of the Borrowe,ENTAILMENT
"In the first year, casual leave accrues at 1 day per 2 months of service.","During the first year of employment, paid casual leave shall accrue at the rate of one (1) day for each completed period of two (2) months of service.",ENTAILMENT
Force or harassment to evict a tenant is strictly prohibited.,The Landlord may use any force or coercion necessary to recover possession or additional rent.,CONTRADICTION
Hirer must have quiet possession of the goods.,The Hirer shall have and enjoy quiet possession of the goods throughout the term of this Agreement.,ENTAILMENT
Owner must have the legal right to sell the goods.,The Owner warrants that they have the legal right to sell the goods at the time property is to pass to the Hirer,ENTAILMENT
Pending court cases affecting land are not enforceable against buyers unless officially registered.,Any pending litigation or claims affecting the property must be registered under the Ordinance to have enforceable effect against third-party purchasers,ENTAILMENT
Only licensed or exempt entities can provide microfinance services; agreements from unlicensed lenders are illegal.,Only licensed or exempt entities may provide microfinance services under this agreement; any agreement with unlicensed entities is void and unenforceable.,CONTRADICTION
"In the first year of employment, an employee must be granted paid annual leave based on the start date (14/10/7/4 days).",No paid annual leave shall be granted during the first year of employment under any circumstances,CONTRADICTION
Existing employees must not have reduced wages or benefits after the Act starts.,The Employer reserves the right to reduce wages and benefits at any time.,CONTRADICTION
Employers cannot force union membership or non-membership.,Employees must join the union designated by the Employer as a condition of employment,CONTRADICTION
Hire-purchase agreements not complying with statutory form and disclosure requirements are unenforceable.,"This Agreement shall be in writing, signed by all parties, and shall contain the hire-purchase price, cash price, instalments, payment schedule, a description of the goods, and the statutory notice as required. A copy of this Agreement shall be delivered to the Hirer within fourteen (14) days of execution.",ENTAILMENT
"If an employer makes higher voluntary contributions, 3% must go to ETF, and any excess may be allocated to approved provident funds.","Where the Employer makes higher voluntary retirement contributions, it may remit 3% to the ETF Fund and allocate the remainder to alternate statutory accounts as permitted by law.",ENTAILMENT
Price increases for essential goods/services require Authority approval.,The price of regulated goods or services shall not be increased without prior written approval from the Consumer Affairs Authority.,ENTAILMENT
A landlord cannot separately charge for furniture or fittings.,"The Landlord may charge separately for furniture, fittings, or other services at their discretion.",CONTRADICTION
An employee must not be employed for more than 8 hours per day or 45 hours per week (excluding rest/meal breaks).,"The normal working hours of the Employee shall not exceed eight (8) hours on any day and forty-five (45) hours in any week, exclusive of intervals allowed for rest or meals, in accordance with applicable law.",ENTAILMENT
Contracts to pledge movable property are invalid unless the property has been physically delivered to the pledgee.,Any contract pledging movable property is valid only if the property is physically delivered to the pledgee.,CONTRADICTION
Agreements can set maximum prices for goods.,No maximum prices shall be imposed or enforced on goods or services.,CONTRADICTION
"An electronic contract is deemed received when it arrives at the recipient’s designated electronic address and can be retrieved, not when actually read.",An electronic message shall be deemed received when it becomes capable of retrieval at the recipient’s designated electronic address.,CONTRADICTION
"Land transaction documents must include the thumb impression of each party, affixed before a notary and witnesses.","All land transaction documents must bear the thumb impression of each party, affixed in the presence of a Notary Public and witnesses.",CONTRADICTION
"When consumers specify a purpose, there is an implied warranty goods/services will be fit for that stated purpose.",No warranty applies to goods or services supplied for a purpose specified by the consumer.,CONTRADICTION
Contract clauses excluding liability for other loss/damage from negligence must be reasonable.,Any limitation of liability for negligence shall apply only to the extent that it is reasonable under the circumstances.,ENTAILMENT
"If a worker gives notice of expected confinement, the employer must not assign her work harmful to her or her child during pregnancy and 3 months after confinement.",Pregnant employees shall not be assigned duties that may be harmful to their health or that of the unborn child.,ENTAILMENT
An employer must not employ a woman worker during the four weeks immediately after her confinement.,A female employee shall not be required or permitted to work during the four weeks immediately following childbirth.,ENTAILMENT
New owners cannot evict existing tenants for personal use in most cases.,"A new owner may evict existing tenants at their discretion, regardless of acquisition date or prior ownership.",CONTRADICTION
Traders cannot impose conditions requiring purchase of additional goods or services (no forced bundling).,"Traders may impose any conditions, including requiring purchase of additional goods or services.",CONTRADICTION
"Hire-purchase agreements must clearly state price, instalments, deposit, and goods details.","The hire-purchase agreement shall clearly state the hire-purchase price, cash price, instalments, and description of goods.",CONTRADICTION
Late gratuity payments incur additional surcharges.,"If the Employer fails to pay gratuity on time, a surcharge shall apply in accordance with the prescribed rates.",ENTAILMENT
Labour tribunals can order reinstatement of dismissed workers.,"The Employer shall have the exclusive right to refuse reinstatement of any Employee, regardless of any tribunal decision",CONTRADICTION
Retirement-related termination is excluded from this Act.,Termination due to retirement shall require prior approval under this Agreement,CONTRADICTION
Retrenchment cannot occur until two months after notice is given.,"The Employer may implement retrenchment effective immediately, ignoring any notice period.",CONTRADICTION
Gratuity must be paid when an employee with sufficient service is terminated.,"Termination of employment shall not give rise to any entitlement to gratuity, irrespective of years of service.",CONTRADICTION
Rent receipts are mandatory for all payments.,The Landlord is not required to issue any receipt for rent or advance payments.,CONTRADICTION
Employers and guardians must provide employment information of women and young persons to authorized officers when requested.,The Employer shall furnish all information relating to the employment of women and young persons to authorized officers upon lawful request.,ENTAILMENT
"In the first year, casual leave accrues at 1 day per 2 months of service.",No leave of any kind shall accrue during the first year of employment,CONTRADICTION
"Sale deeds, transfers, mortgages, land agreements, wills, and court orders must be registered to affect land rights.","The Parties may execute deeds, transfers, mortgages, agreements, wills, or court orders affecting land without registration, and such instruments shall remain legally effective.",CONTRADICTION
Self-employed persons or migrant workers may join the Fund voluntarily by notifying the Board in writing.,"If the Employee is eligible and desires to join the Fund as a self‑employed or migrant member, such membership shall be processed in accordance with Board rules.",ENTAILMENT
Cannot restrict rules of evidence or procedure via contract.,No term shall exclude or restrict the application of rules of evidence or procedure.,ENTAILMENT
Employers cannot force union membership or non-membership.,"Employment under this Agreement shall not be contingent upon the Employee joining, refraining from joining, or withdrawing from membership in any trade union.",ENTAILMENT
Complaints about termination must be filed within six months.,"Employees may file complaints regarding termination at any time, without limitation or adherence to statutory time periods.",CONTRADICTION
"A landlord must not cut off essential services such as water, electricity, or sanitation.",The Landlord may discontinue or withhold utilities or services at any time without cause.,CONTRADICTION
"An employee must be given paid public holidays, up to 9 days per year.","The Employee shall be granted paid public holidays as declared by the Minister, subject to a maximum of nine (9) such holidays per year.",ENTAILMENT
"After sale of a pledged item, the pawnbroker must pay the debtor any surplus within one year if demanded.",Any surplus from the sale of a pledged item shall be deposited to the Pawner’s credit within one year if no claim is made earlier.,CONTRADICTION
"Every promissory note must clearly state the amount borrowed, any advance deductions, and the annual interest rate.","Every promissory note shall specify the principal amount, any advance deductions, and the applicable annual interest rate.",CONTRADICTION
Registration time determines legal priority between competing land documents.,The parties agree that the legal priority of any registered instrument shall be determined based on the date and time of registration recorded by the Registrar.,ENTAILMENT
The Employees’ Trust Fund Board must be set up to administer and manage the Fund.,Any obligations imposed on employers regarding trust fund contributions shall be administered through the Employees’ Trust Fund Board established under law.,ENTAILMENT
"If the business becomes bankrupt or insolvent, a lender with profit-based interest can only recover after all other creditors are fully paid.","In case of bankruptcy, any lender entitled to profit-based returns shall recover amounts only after satisfaction of claims of other creditors.",CONTRADICTION
Employers must comply with official directions to provide records for gratuity verification.,"The Employer shall comply with any written direction from the Commissioner to provide books, documents, or other records necessary for verifying gratuity calculations.",ENTAILMENT
A loan agreement is invalid if obtained through undue influence where one party dominates the other and gains an unfair advantage.,Any loan agreement obtained under undue influence shall be void,ENTAILMENT
Pawn contracts must allow redemption on surrender of pawn ticket foil and proper signature.,The Pawner may redeem any pledged item upon surrendering the pawn ticket foil and signing it in the presence of the Pawnbroker or authorized agent.,CONTRADICTION
"Labour inspectors can check compliance, review registers, and demand wage info from employers.","The Employer shall allow authorised officers to inspect premises, examine and copy registers, answer questions, and provide information as required for enforcement of this Act.",ENTAILMENT
"The Commissioner may set terms and conditions for termination, including gratuity or compensation payable by the employer.","Any approval granted by the Commissioner may be subject to such terms and conditions, including payment of gratuity or compensation to the Employee, as determined by the Commissioner.",ENTAILMENT
The Employer may withhold or forfeit gratuity if termination is due to proven misconduct causing loss.,The Employer may withhold or forfeit gratuity if the Employee’s termination is due to proven misconduct or loss caused to the Employer.,ENTAILMENT
Registration time determines legal priority between competing land documents.,The legal priority of instruments affecting land shall not be determined by the time of registration.,CONTRADICTION
The parties to the document or anyone with a legal interest can submit it for registration.,"Any party executing or having a legal interest in the land may submit the instrument for registration, as permitted under the Ordinance.",ENTAILMENT
Tenants can recover or deduct excess rent paid.,The Tenant shall have no right to recover or deduct any excess rent paid.,CONTRADICTION
A collective agreement in force is binding on all parties and its terms are part of their employment contracts.,The Parties agree that any existing or future collective agreements shall not bind them or form part of their employment contract,CONTRADICTION
"If an employee has worked earlier for another employer that day, the total hours for both employments must not exceed the legal daily limit.",The Employer shall not consider hours worked by the Employee for any other employer when assigning daily working hours,CONTRADICTION
Landlord must not charge above fixed proportionate rent for parts of premises.,"The Landlord shall not charge any amount for any part of the premises that exceeds the proportionate rent fixed by the Board, as defined by law.",ENTAILMENT
Cannot avoid performance completely unless contract term is reasonable.,The other party shall not refuse to perform contractual obligations except as permitted under reasonable terms.,ENTAILMENT
A contract formed by offer and acceptance electronically is valid and enforceable even if entirely digital.,An offer and acceptance expressed electronically shall form a legally valid and enforceable contract unless otherwise agreed.,CONTRADICTION
Complaints about termination must be filed within six months.,"Any application relating to termination must be filed with the Labour Tribunal within six (6) months from the date of termination, in accordance with statutory requirements.",ENTAILMENT
"In the first year of employment, an employee must be granted paid annual leave based on the start date (14/10/7/4 days).","During the first year of employment, the Employee shall be entitled to paid annual leave calculated in accordance with the commencement date, as prescribed by law, and the Employer shall grant such leave with full remuneration.",ENTAILMENT
"For loans between Rs. 100 and Rs. 2,500, any interest rate above 18% per year is presumed unreasonable unless the lender proves otherwise.","Interest on loans exceeding Rs. 100 and up to Rs. 2,500 shall not exceed 18% per annum unless justified by lender.",CONTRADICTION
A lessee must care for and properly use the leased equipment.,"The Lessee shall maintain the Equipment in good condition, use it only for its intended purpose, and comply with all manufacturer guidelines",ENTAILMENT
"The Commissioner may refer any industrial dispute for conciliation, arbitration, or to a labour tribunal.","Any dispute arising under this Agreement shall not be subject to conciliation, arbitration, or labour tribunal proceedings, and must be settled internally by the Employer",CONTRADICTION
Documents missing required land details can be legally rejected and treated as non-compliant.,The parties acknowledge that any document lacking required land particulars may be rejected by the Registrar and shall be deemed non-compliant under the Registration of Documents Ordinance.,ENTAILMENT
"False claims about product features, benefits, or endorsements are illegal.","Traders may make any representations regarding product features, benefits, or sponsorships without restriction.",CONTRADICTION
A widow or child receiving profit payments after a partner’s death is not considered a partner and is not liable for business debts.,Any widow or child receiving profit payments after a partner’s death shall not be deemed a partner nor liable for business obligations.,CONTRADICTION
"ETF contributions earn statutory interest, at a minimum rate of 3% per annum, as fixed by the Board",No interest shall accrue on any trust fund contributions.,CONTRADICTION
Employees cannot be dismissed for union involvement.,"The Employer shall not terminate or otherwise penalize the Employee on account of membership in, or participation in, lawful trade union activities.",ENTAILMENT
Wage registers must be kept for 6 years.,Employment records may be destroyed at the Employer’s discretion.,CONTRADICTION
"From the second year onward, an employee is entitled to at least 14 days of paid annual leave, including at least 7 consecutive days.","From the second and subsequent years of employment, the Employee shall be entitled to fourteen (14) days of paid annual leave, of which not less than seven (7) days shall be taken consecutively.",ENTAILMENT
"Withdrawals from individual ETF accounts are restricted to once every 5 years, except for members over 60 or those permanently leaving Sri Lanka.",The Employee may freely withdraw trust fund balances at any time without restriction.,CONTRADICTION
Employees cannot be punished for claiming lawful employment benefits.,The Employer may terminate or penalize Employees for claiming collective agreement or tribunal-awarded benefits.,CONTRADICTION
"After confinement, the employer must not employ the worker in harmful work for 3 months.",No post-confinement work restrictions shall apply to the Employee.,CONTRADICTION
Young persons may not be employed at night except as permitted by law.,The Employer is not obligated to display or communicate statutory protections for young workers.,CONTRADICTION
"If a loan’s total charges (interest, fees, penalties) are excessive and the transaction is harsh or unfair, the court can review the loan and reduce the amount owed to what is fair.","If any loan is deemed harsh, unconscionable, or excessively charged, the Parties agree it may be adjusted by court order to ensure fairness",ENTAILMENT
Late gratuity payments incur additional surcharges.,The Employer shall not be liable for any surcharge or penalty arising from delayed gratuity payments.,CONTRADICTION
Employers must pay wages in cash/legal tender directly to employees and cannot make unauthorized deductions.,The Employer shall pay all wages due to the Employee directly in legal tender and shall not make any unauthorized deductions,ENTAILMENT
"After sale of a pledged item, the pawnbroker must pay the debtor any surplus within one year if demanded.","If the sale of a pledged item results in surplus proceeds exceeding the loan and interest, the Pawnbroker shall pay or deposit such surplus to the Pawner within one (1) year upon request",ENTAILMENT
Employees must contribute 8% of their monthly earnings to the Employees’ Provident Fund for each month worked in covered employment.,"The Employee shall contribute 8% of his total monthly earnings to the Employees’ Provident Fund, payable in accordance with applicable law.",ENTAILMENT
"When employment ends, the employer must pay all wages due within two working days.",The Employer shall pay all wages due to the Worker within two working days upon termination or resignation of employment.,CONTRADICTION
"For loans between Rs. 100 and Rs. 2,500, any interest rate above 18% per year is presumed unreasonable unless the lender proves otherwise.","Interest on loans between Rs. 101 and Rs. 2,500 shall not exceed 18% per annum unless justified as reasonable",ENTAILMENT
Microfinance NGO loan agreements must comply with maximum interest rates and other terms set by the Registrar.,All loans or credit facilities granted by the Lender shall comply with the maximum interest rates and other terms established by the Registrar,ENTAILMENT
"An employee must be given paid public holidays, up to 9 days per year.",Public holidays shall be treated as normal working days without additional pay or leave,CONTRADICTION
An unregistered land document is legally weaker and loses priority to a later registered document.,All land instruments shall remain valid and enforceable irrespective of registration or priority under any Ordinance.,CONTRADICTION
The rate of gratuity depends on the employee’s role and period of service.,The Employer shall compute the Employee’s gratuity based on the Employee’s role and completed years of service.,ENTAILMENT
Cannot avoid liability by imposing burdensome conditions.,Liability cannot be made subject to restrictive or onerous conditions to avoid its effect.,CONTRADICTION
A Wages Board sets mandatory minimum wage and overtime rates for specific trades.,The Parties acknowledge that wages and overtime payments shall not be less than the minimum rates prescribed by the relevant Wages Board.,CONTRADICTION
Service under previous employers counts toward gratuity if ownership changes within five years.,Service under previous employers shall not be counted when computing gratuity after a change in ownership.,CONTRADICTION
"An employer must not terminate employment solely because of the worker’s pregnancy, confinement, or related illness.","Pregnancy, childbirth, or related illness shall not constitute grounds for termination of employment.",ENTAILMENT
Cannot use another contract to bypass protections under this Act.,No rights or obligations under another contract shall be used to circumvent this Act,ENTAILMENT
Employers must set a wage period and pay wages within the legal timeframe (3–10 days depending on period length).,"The Employer shall pay wages in legal tender directly to the Worker, without unauthorized deductions, except as permitted by law.",CONTRADICTION
A lessee has a right to peaceful possession of leased equipment; the lessor must protect it.,"The Lessee shall have uninterrupted and peaceful possession of the Equipment, and the Lessor shall ensure such possession is protected against any interference",ENTAILMENT
All goods and services must meet determined standards and specifications.,Goods and services may be supplied without regard to standards or specifications.,CONTRADICTION
Employers must pay a daily fine for continuing to ignore the Commissioner’s order.,Non-compliance with any order or direction issued by the Commissioner of Labour shall not constitute an offence under this Agreement.,CONTRADICTION
Consumer cannot be required to indemnify another’s negligence or breach unless reasonable.,A consumer shall not be obliged to indemnify any other party for negligence or breach of contract except where such obligation is reasonable in all circumstances.,CONTRADICTION
An employee must be given meal intervals as specified in the Act’s Schedule.,The Employee shall be provided with intervals for meals in accordance with the regulations prescribed in the Schedule to the Act.,ENTAILMENT
Goods must be fit for the purpose made known by the hirer.,The Owner warrants that goods supplied shall be fit for any particular purpose made known by the Hirer prior to entering this agreement.,CONTRADICTION
"For loans up to Rs. 100, any interest rate above 20% per year is presumed unreasonable unless the lender proves otherwise.",Interest on loans not exceeding Rs. 100 shall not exceed 20% per annum unless the lender proves reasonableness.,CONTRADICTION
"If a termination is unlawful, the Commissioner may order reinstatement and payment of wages and benefits, and the employer must comply.",The Employer shall not be required to reinstate any Worker under any circumstances,CONTRADICTION
Owner must give proper notice before terminating for default.,The Owner may not recover possession of goods without giving written notice specifying the default and providing at least seven (7) days to remedy.,ENTAILMENT
Cannot restrict remedies or penalize someone for pursuing rights.,No term shall limit rights or remedies or penalize a party for pursuing them.,ENTAILMENT
A person must be registered to legally run a finance leasing business.,The Lessor warrants that it is duly registered and authorized to conduct finance leasing business under applicable law,ENTAILMENT
Employers must not reduce an employee’s earnings or benefits because of EPF obligations.,The Employer may revise Employee benefits or earnings to offset statutory contribution costs.,CONTRADICTION
False claims about warranties or guarantees are illegal.,"The Trader shall not make any false or misleading statements regarding warranties, guarantees, or the terms of coverage for goods or services.",ENTAILMENT
"Traders must issue receipts showing date, quantity, price, and transaction type.",Traders may sell goods without issuing receipts or providing details of the transaction.,CONTRADICTION
Traders cannot refuse to sell goods they have in stock for trade purposes.,Traders may refuse to sell any goods in their possession or custody for any reason.,CONTRADICTION
Contracts or clauses formed electronically (e‑contracts) cannot be treated as invalid just because they are electronic.,"All electronic communications, records, or contracts exchanged between the Parties shall be legally valid and enforceable",ENTAILMENT
Savings agreements issued by microfinance NGOs must comply with maximum interest rate limits set by the Registrar.,Any savings account agreements under this contract shall adhere to maximum interest rates and terms as determined by the Registrar.,CONTRADICTION
"When consumers specify a purpose, there is an implied warranty goods/services will be fit for that stated purpose.","Where the Consumer specifies a particular purpose, the goods or services shall be reasonably fit to achieve that purpose.",ENTAILMENT
Employees cannot be punished for claiming lawful employment benefits.,"No adverse action shall be taken against the Employee for claiming any benefit to which the Employee is entitled under a collective agreement, settlement, award, or Labour Tribunal order.",ENTAILMENT
Maternity benefit periods are in addition to any other leave or holiday rights the woman worker has.,Any maternity leave granted shall be deducted from the employee’s annual or casual leave entitlement.,CONTRADICTION
Labour officers may inspect workplaces and investigate compliance.,The Employer’s premises shall not be subject to inspection or questioning by labour officers.,CONTRADICTION
Landlords must provide a written rent statement when requested.,"The Landlord shall not be obliged to provide any statement of rent, increases, or receivable/proportionate amounts.",CONTRADICTION
Goods sold by description must match that description.,Goods sold by description or sample shall conform strictly to the description provided.,CONTRADICTION
"From the second year onward, casual leave may be taken during that year.",Casual leave may only be granted at the sole discretion of the Employer and is not an entitlement,CONTRADICTION
"A worker is not protected by this Act if their total period of employment is less than 180 days, even after counting approved leave, injury leave, occupational disease leave, employer-caused work stoppages, lawful strikes or lockouts (up to 30 days), and statutory holidays.",All Workers are subject to termination approval rules regardless of length of service,CONTRADICTION
False claims about discounts or price changes are illegal.,"The Trader shall accurately represent all price reductions, increases, discounts, and promotions and shall not make any misleading statements regarding pricing.",ENTAILMENT
"Money lenders must keep clear written records of all loan transactions showing amounts, payments, and charges in plain language.","Every lender shall maintain accurate and clear written records of each loan transaction, including amounts, payments, and charges.",CONTRADICTION
Wage registers must be kept for 6 years.,The Employer shall retain all worker wage registers for at least six years.,ENTAILMENT
"If the business becomes bankrupt or insolvent, a lender with profit-based interest can only recover after all other creditors are fully paid.",Recovery of profit-based returns shall be subordinate to the claims of all other creditors in case of insolvency.,ENTAILMENT
Eviction for landlord’s own use requires one year’s written notice.,The Landlord may evict the Tenant for personal use without providing any prior notice.,CONTRADICTION
"An employer must not dismiss a woman worker during maternity absence, nor have notice expire during that absence.",No notice of termination shall be issued to an employee during her maternity leave period.,ENTAILMENT
"If wages are unpaid, the Commissioner-General can order the employer to pay the defaulted amount.",The Employer shall pay any defaulted national minimum wage to the Commissioner-General within the specified period upon receiving notice.,ENTAILMENT
Microfinance NGO loan agreements must comply with maximum interest rates and other terms set by the Registrar.,All loans or credit facilities provided by the Microfinance NGO under this agreement shall comply with maximum interest rates and terms as set by the Registrar.,CONTRADICTION
Any contract clause that limits worker rights under this Act is invalid.,Any provision of this Agreement that limits or diminishes rights conferred by the Industrial Disputes Act or by any award of a Labour Tribunal is null and void to the extent of such inconsistency.,ENTAILMENT
Express contract terms cannot remove implied warranties unless they directly conflict.,Express contract terms shall not override implied warranties unless expressly conflicting with them.,CONTRADICTION
"Any document affecting land, ownership, or mortgages falls under this law and may require registration.","Any instrument or document affecting land, mortgages, or ownership may be executed or recorded without adherence to statutory registration requirements.",CONTRADICTION
EPF contributions can be voluntarily increased above statutory minimums.,"The Employer and Employee may mutually agree to higher EPF contribution percentages than the statutory minimums, and any such election shall be irrevocable once effective.",ENTAILMENT
Savings agreements issued by microfinance NGOs must comply with maximum interest rate limits set by the Registrar.,The Lender shall ensure that all savings accounts and deposits comply with the maximum interest rates prescribed by the Registrar,ENTAILMENT
An employer must allow the woman worker to be absent for the full statutory maternity benefit period.,The Company shall permit maternity leave for the full period prescribed under the Maternity Benefits Ordinance.,ENTAILMENT
"Contracts involving land or immovable property must be in writing, signed by all parties, and notarised, otherwise they are legally invalid.","The Parties agree that all transactions involving land or immovable property shall be valid only if documented in writing, signed by all parties, and notarized as required under applicable law",ENTAILMENT
An employer must allow the woman worker to be absent for the full statutory maternity benefit period.,Any absence due to childbirth shall be treated as unauthorized leave and subject to disciplinary action.,CONTRADICTION
Buyer has right to quiet possession of the goods.,The Buyer shall enjoy quiet possession of the goods without interference,ENTAILMENT
Selling goods above the marked price is illegal.,Traders may sell goods at any price regardless of the price marked.,CONTRADICTION
Employers must give a holiday on Poya days and pay at least 1.5× normal wage if work is done on that day.,"The Employer shall grant the Employee a holiday on every Full Moon Poya Day. If the Employee is required to work on such day, the Employer shall pay at least 1.5 times the normal rate of wages.",ENTAILMENT
Workers must complain within 6 months of termination.,The Worker may file complaints at any time without limitation.,CONTRADICTION
A person who lends money and receives profit-based interest or a share of profits does not automatically become a partner and is not liable as a partner.,The Parties agree that lending funds with profit-based returns shall not create a partnership or confer partnership liabilities on the lender,ENTAILMENT
The Commissioner’s decision on termination approval cannot be challenged in court.,Any decision of the Commissioner under this Act shall be final and conclusive and shall not be subject to challenge before any court or tribunal.,ENTAILMENT
